Rank,Pos,ID,Name,Team,Opp,Comp,Yards,TD,Int,Att,Yards,TD,Rec,Yards,TD,Fantasy Points
103,WR,12180,"Green-Beckham, Dorial",TEN,CAR,0,0,0,0,0.19,1,0,3.38,48,0.34,5
104,WR,11211,"Williams, Terrance",DAL,TBB,0,0,0,0,0,0,0,2.94,49,0.42,5
105,RB,10303,"Vereen, Shane",NYG,NEP,0,0,0,0,4.29,18,0.02,3.02,27,0.26,5
106,WR,10527,"Baldwin, Doug",SEA,ARI,0,0,0,0,0.08,0,0,3.95,49,0.24,5
107,WR,10362,"Shorts, Cecil",HOU,CIN,0,0,0,0,0,0,0,4.46,53,0.27,5
108,WR,10738,"Jones, Marvin",CIN,HOU,0,0,0,0,0.42,1,0,3.87,50,0.34,5
109,RB,11193,"Bernard, Giovani",CIN,HOU,0,0,0,0,7.86,40,0.16,1.93,14,0.04,5
110,RB,10812,"Hillman, Ronnie",DEN,KCC,0,0,0,0,9.47,41,0.27,1.04,5,0.03,5
111,TE,9925,"Graham, Jimmy",SEA,ARI,0,0,0,0,0,0,0,4.35,52,0.35,5
112,RB,11668,"Crowell, Isaiah",CLE,PIT,0,0,0,0,9.81,35,0.25,1.04,12,0.06,5
113,RB,11654,"Hill, Jeremy",CIN,HOU,0,0,0,0,10.09,40,0.4,0.91,6,0.08,5
114,WR,9467,"Britt, Kenny",STL,CHI,0,0,0,0,0.13,1,0,2.66,48,0.18,5
115,WR,8673,"Ginn Jr., Ted",CAR,TEN,0,0,0,0,0.15,1,0,2.8,46,0.34,5
116,WR,8493,"Colston, Marques",NOS,WAS,0,0,0,0,0.01,0,0,3.62,48,0.19,5
117,TE,6997,"Witten, Jason",DAL,TBB,0,0,0,0,0,0,0,5.19,54,0.29,5
118,WR,11783,"Brown, John",ARI,SEA,0,0,0,0,0.03,0,0,3.1,50,0.34,5
119,WR,8117,"Washington, Nate",HOU,CIN,0,0,0,0,0,0,0,3.31,48,0.34,5
120,QB,11641,"Manziel, Johnny",CLE,PIT,7.9,95,0.32,0.75,1.97,8,0.05,0,0,0,5
121,TE,9044,"Bennett, Martellus",CHI,STL,0,0,0,0,0,0,0,4.78,46,0.29,5
122,RB,11650,"Mason, Tre",STL,CHI,0,0,0,0,8.04,27,0.07,1.18,8,0.01,4
123,RB,10870,"Morris, Alfred",WAS,NOS,0,0,0,0,10.26,38,0.15,0.61,5,0,4
124,WR,10973,"Beasley, Cole",DAL,TBB,0,0,0,0,0,0,0,3.67,41,0.28,4
125,RB,11175,"Ellington, Andre",ARI,SEA,0,0,0,0,7.16,30,0.19,1.47,11,0.03,4
126,TE,11247,"Ertz, Zach",PHI,MIA,0,0,0,0,0,0,0,3.74,43,0.13,4
127,WR,10601,"Hawkins, Andrew",CLE,PIT,0,0,0,0,0.1,0,0,3.08,36,0.05,4
128,TE,10409,"Clay, Charles",BUF,NYJ,0,0,0,0,0,0,0,4.16,43,0.29,4
129,WR,11228,"Woods, Robert",BUF,NYJ,0,0,0,0,0.01,0,0,3.27,39,0.27,4
130,RB,9856,"McCluster, Dexter",TEN,CAR,0,0,0,0,5.45,18,0.01,2.17,19,0.06,4
131,RB,12157,"Johnson, Duke",CLE,PIT,0,0,0,0,5.46,17,0,2.5,27,0.14,4
132,TE,11695,"Ebron, Eric",DET,GBP,0,0,0,0,0,0,0,3.14,35,0.31,4
133,TE,7842,"Miller, Heath",PIT,CLE,0,0,0,0,0,0,0,3.34,36,0.09,4
134,RB,7942,"Sproles, Darren",PHI,MIA,0,0,0,0,4.92,20,0.25,2.87,19,0,4
135,WR,9964,"Cooper, Riley",PHI,MIA,0,0,0,0,0,0,0,2.88,36,0.29,4
136,WR,10516,"Walters, Bryan",JAC,BAL,0,0,0,0,0.1,1,0,3.62,42,0.18,4
137,WR,10723,"Sanu, Mohamed",CIN,HOU,0,0,0,0,0.49,3,0.1,2.78,39,0.09,4
138,RB,9680,"Jennings, Rashad",NYG,NEP,0,0,0,0,6.71,26,0.1,1.24,11,0.04,4
139,WR,10721,"Floyd, Michael",ARI,SEA,0,0,0,0,0.02,0,0,2.5,40,0.36,4
140,WR,9525,"Wallace, Mike",MIN,OAK,0,0,0,0,0.13,1,0,3.49,43,0.23,4
141,RB,11747,"White, James",NEP,NYG,0,0,0,0,6.49,29,0.06,2.07,15,0.14,4
142,RB,11834,"Blue, Alfred",HOU,CIN,0,0,0,0,7.64,29,0.15,1.53,13,0.06,4
143,TE,8247,"Davis, Vernon",DEN,KCC,0,0,0,0,0.02,0,0,2.01,26,0.21,3
144,WR,12184,"Crowder, Jamison",WAS,NOS,0,0,0,0,0.05,0,0,3.48,32,0,3
145,WR,12187,"Lockett, Tyler",SEA,ARI,0,0,0,0,0.29,1,0,2.51,30,0.08,3
146,TE,10352,"Cameron, Jordan",MIA,PHI,0,0,0,0,0,0,0,2.26,29,0.13,3
147,RB,12159,"Allen, Javorius",BAL,JAC,0,0,0,0,4.21,14,0.01,1.96,13,0.18,3
148,WR,10392,"Kerley, Jeremy",NYJ,BUF,0,0,0,0,0.19,1,0,2.57,30,0.08,3
149,TE,11785,"Rodgers, Richard",GBP,DET,0,0,0,0,0.08,0,0,3.19,29,0.42,3
150,WR,9144,"Douglas, Harry",TEN,CAR,0,0,0,0,0.04,0,0,2.23,25,0.1,3
151,TE,11786,"Gillmore, Crockett",BAL,JAC,0,0,0,0,0,0,0,2.92,31,0.33,3
152,WR,8510,"Austin, Miles",PHI,MIA,0,0,0,0,0,0,0,1.83,29,0.12,3
153,WR,11890,"Wilson, Albert",KCC,DEN,0,0,0,0,0.07,0,0,1.98,27,0.13,3
154,WR,10736,"Givens, Chris",BAL,JAC,0,0,0,0,0.21,0,0.05,2.21,31,0.08,3
155,RB,8934,"Jackson, Fred",SEA,ARI,0,0,0,0,3.06,11,0.02,2.04,16,0.04,3
156,RB,12162,"Jones, Matt",WAS,NOS,0,0,0,0,5.4,18,0.16,0.81,7,0,3
157,WR,11231,"Wilson, Marquess",CHI,STL,0,0,0,0,0.01,0,0,2.48,31,0.13,3
158,RB,12444,"Smith, Rod",DAL,TBB,0,0,0,0,3.82,18,0.05,0.79,8,0,3
159,WR,10734,"Wright, Jarius",MIN,OAK,0,0,0,0,0.21,1,0,2.08,31,0.07,3
160,QB,9073,"Henne, Chad",JAC,BAL,4.67,52,0.32,0.16,0.31,1,0,0,0,0,3
161,WR,11229,"Wheaton, Markus",PIT,CLE,0,0,0,0,0.05,0,0,2.17,31,0.09,3
162,WR,12181,"Agholor, Nelson",PHI,MIA,0,0,0,0,0.03,0,0,2.52,31,0.07,3
163,WR,10983,"Hogan, Chris",BUF,NYJ,0,0,0,0,0.12,1,0,2.85,30,0.17,3
164,TE,9474,"Cook, Jared",STL,CHI,0,0,0,0,0.02,0,0,2.67,34,0.11,3
165,RB,9822,"Spiller, C.J.",NOS,WAS,0,0,0,0,3.61,13,0.03,2.75,21,0.18,3
166,RB,11186,"Thompson, Chris",WAS,NOS,0,0,0,0,1.94,11,0.02,2.47,16,0.1,3
167,WR,11212,"Hunter, Justin",TEN,CAR,0,0,0,0,0,0,0,1.84,26,0.15,3
168,RB,10048,"Bell, Joique",DET,GBP,0,0,0,0,5.46,22,0.16,1.45,12,0.03,3
169,RB,12154,"Ajayi, Jay",MIA,PHI,0,0,0,0,3.62,15,0,1.17,10,0.01,3
170,RB,11432,"Cunningham, Benny",STL,CHI,0,0,0,0,2.38,8,0.06,1.92,17,0.02,3
171,RB,11188,"Riddick, Theo",DET,GBP,0,0,0,0,1.53,6,0.03,3.13,26,0.16,3
172,RB,11189,"Stacy, Zac",NYJ,BUF,0,0,0,0,6.36,22,0.08,1.69,12,0,3
173,QB,9899,"McCoy, Colt",WAS,NOS,3.94,46,0.21,0.05,0.94,5,0,0,0,0,3
174,RB,11194,"Davis, Knile",KCC,DEN,0,0,0,0,5.51,18,0.27,0.75,7,0.04,3
175,QB,11645,"Mettenberger, Zach",TEN,CAR,7.07,69,0.13,0.5,0.98,2,0.02,0,0,0,3
176,WR,9545,"Hartline, Brian",CLE,PIT,0,0,0,0,0.01,0,0,2.39,26,0.28,3
177,RB,11210,"Robinson, Denard",JAC,BAL,0,0,0,0,4.82,19,0.05,1.1,7,0,3
178,WR,11754,"Coleman, Brandon",NOS,WAS,0,0,0,0,0,0,0,1.38,25,0.06,3
179,WR,11975,"Gabriel, Taylor",CLE,PIT,0,0,0,0,0.07,0,0,2.95,34,0.02,3
180,QB,11156,"Jones, Landry",PIT,CLE,3.62,51,0.17,0.15,1.03,0,0,0,0,0,3
181,TE,7422,"Watson, Ben",NOS,WAS,0,0,0,0,0,0,0,3.1,31,0.33,3
182,WR,7498,"Cotchery, Jerricho",CAR,TEN,0,0,0,0,0.07,0,0,1.95,26,0.05,3
183,RB,11761,"McKinnon, Jerick",MIN,OAK,0,0,0,0,4.67,21,0,1.11,6,0.01,3
184,RB,11653,"Sankey, Bishop",TEN,CAR,0,0,0,0,5.65,20,0.05,1.35,11,0.05,3
185,QB,9429,"Sanchez, Mark",PHI,MIA,4.29,53,0.31,0.17,0.81,2,0.03,0,0,0,3
186,RB,12171,"Johnson, David",ARI,SEA,0,0,0,0,2.2,9,0.25,1.18,17,0.13,3
187,TE,10312,"Rudolph, Kyle",MIN,OAK,0,0,0,0,0,0,0,2.95,27,0.34,3
188,WR,9308,"Amendola, Danny",NEP,NYG,0,0,0,0,0.23,1,0,2.9,29,0.19,3
189,TE,11697,"Seferian-Jenkins, Austin",TBB,DAL,0,0,0,0,0,0,0,1.75,22,0.2,2
190,WR,10735,"Quick, Brian",STL,CHI,0,0,0,0,0.47,3,0,1.57,18,0.05,2
191,WR,8178,"Moore, Lance",DET,GBP,0,0,0,0,0,0,0,1.78,18,0.18,2
192,RB,10998,"Asiata, Matt",MIN,OAK,0,0,0,0,2.56,10,0.01,1.18,7,0.02,2
193,QB,10948,"Keenum, Case",STL,CHI,3.4,32,0.13,0.22,0.6,1,0,0,0,0,2
194,TE,10940,"Carrier, Derek",WAS,NOS,0,0,0,0,0,0,0,1.76,17,0.09,2
195,RB,11179,"Michael, Christine",DAL,TBB,0,0,0,0,3.59,16,0.05,0.34,3,0,2
196,RB,12155,"Abdullah, Ameer",DET,GBP,0,0,0,0,5.05,17,0.03,0.95,7,0.08,2
197,RB,10975,"Grimes, Jonathan",HOU,CIN,0,0,0,0,2.83,11,0,0.81,6,0,2
198,QB,11152,"Glennon, Mike",TBB,DAL,3.68,42,0.35,0.21,0.24,1,0,0,0,0,2
199,QB,11154,"Manuel, E.J.",BUF,NYJ,2.54,27,0.12,0.36,1.02,3,0.04,0,0,0,2
200,QB,7194,"Hill, Shaun",MIN,OAK,3.39,37,0.15,0.14,0.38,0,0.01,0,0,0,2
201,RB,10929,"Rainey, Bobby",TBB,DAL,0,0,0,0,2.56,9,0.03,1.03,9,0,2
202,RB,12161,"Artis-Payne, Cameron",CAR,TEN,0,0,0,0,3.33,11,0,0.68,7,0,2
203,RB,12169,"Rawls, Thomas",SEA,ARI,0,0,0,0,4.03,18,0.02,0.63,4,0.08,2
204,QB,7957,"Orlovsky, Dan",DET,GBP,3.8,35,0.17,0.19,0.09,0,0,0,0,0,2
205,WR,9783,"Norwood, Jordan",DEN,KCC,0,0,0,0,0,0,0,2.24,20,0.01,2
206,WR,10674,"Holmes, Andre",OAK,MIN,0,0,0,0,0.01,0,0,1.48,23,0.34,2
207,TE,11381,"Willson, Luke",SEA,ARI,0,0,0,0,0,0,0,1.12,16,0.13,2
208,TE,10318,"Kendricks, Lance",STL,CHI,0,0,0,0,0,0,0,1.48,15,0.17,2
209,WR,11659,"Thomas, De'Anthony",KCC,DEN,0,0,0,0,0.83,3,0.09,1.59,13,0.1,2
210,WR,8293,"Jennings, Greg",MIA,PHI,0,0,0,0,0.02,0,0,1.6,18,0.09,2
211,TE,9936,"Graham, Garrett",HOU,CIN,0,0,0,0,0,0,0,1.51,15,0.14,2
212,WR,11440,"Thompkins, Kenbrell",NYJ,BUF,0,0,0,0,0,0,0,2.15,20,0,2
213,RB,10368,"Jones, Taiwan",OAK,MIN,0,0,0,0,1.86,8,0,1.09,13,0.1,2
214,RB,10355,"Helu, Roy",OAK,MIN,0,0,0,0,2.56,10,0.07,1.57,11,0.11,2
215,RB,9196,"Hightower, Tim",NOS,WAS,0,0,0,0,2.53,7,0.12,1.67,10,0.02,2
216,RB,11658,"Williams, Andre",NYG,NEP,0,0,0,0,6.05,20,0.14,0.43,3,0,2
217,TE,12206,"Williams, Maxx",BAL,JAC,0,0,0,0,0,0,0,1.78,17,0.01,2
218,WR,11409,"Johnson, Charles",MIN,OAK,0,0,0,0,0.09,0,0,1.58,23,0.05,2
219,RB,12367,"Murphy, Marcus",NOS,WAS,0,0,0,0,2.33,7,0.11,1.49,8,0.02,2
220,WR,11481,"Brown, Marlon",BAL,JAC,0,0,0,0,0,0,0,2.19,23,0.01,2
221,RB,9315,"Tolbert, Mike",CAR,TEN,0,0,0,0,2.83,11,0.12,0.73,5,0.2,2
222,RB,10301,"Todman, Jordan",PIT,CLE,0,0,0,0,3.76,16,0.11,1.05,8,0.03,2
223,WR,12205,"Funchess, Devin",CAR,TEN,0,0,0,0,0.05,0,0,1.56,23,0.11,2
224,TE,10372,"Thomas, Julius",JAC,BAL,0,0,0,0,0,0,0,2.4,24,0.26,2
225,WR,11812,"Grant, Ryan",WAS,NOS,0,0,0,0,0.04,0,0,2.21,22,0.02,2
226,TE,8735,"Chandler, Scott",NEP,NYG,0,0,0,0,0,0,0,1.9,21,0.15,2
227,RB,9880,"Gerhart, Toby",JAC,BAL,0,0,0,0,3.5,10,0.03,0.7,6,0,2
228,QB,10698,"Weeden, Brandon",DAL,TBB,2.68,36,0.47,0.04,1.09,1,0,0,0,0,2
229,WR,12331,"Mumphery, Keith",HOU,CIN,0,0,0,0,0,0,0,1.81,15,0,2
230,WR,8667,"Bowe, Dwayne",CLE,PIT,0,0,0,0,0,0,0,1.46,18,0,2
231,TE,9838,"Gresham, Jermaine",ARI,SEA,0,0,0,0,0,0,0,2.29,24,0.1,2
232,TE,8294,"Fasano, Anthony",TEN,CAR,0,0,0,0,0,0,0,1.72,18,0.23,2
233,WR,12471,"Roberts, Seth",OAK,MIN,0,0,0,0,0.11,0,0,1.76,23,0.14,2
234,WR,11684,"Huff, Josh",PHI,MIA,0,0,0,0,0,0,0,1.69,16,0.02,2
